,Values
tuid,20240523111622
infotype,group_hist
infosummary,mean
num_thresholds,50
num_tstep,1000
num_agents,25
num_replicates,10000
reward_assessment,cumulative
looped_over_param,corr
threshold_type,uniform
threshold_min,-3
threshold_max,6
